title,theme
"Mastering QuickBooks 2020
Book",Business&Other
"Hands-On Microsoft Teams
Book",Business&Other
"Microsoft 365 and SharePoint Online Cookbook
Book",Business&Other
"Microsoft Power Platform Enterprise Architecture
Book",Business&Other
"Odoo 12 Development Cookbook - Third Edition
Book",Business&Other
"Managing Software Requirements the Agile Way
Book",Business&Other
"Mastering Microsoft Dynamics 365 Business Central
Book",Business&Other
"Learn SwiftUI
Book",Business&Other
"RabbitMQ Essentials - Second Edition
Book",Business&Other
"Mastering Windows PowerShell Scripting - Third Edition
Book",Business&Other
"Learn Microsoft Office 2019
Book",Business&Other
"Mastering Ansible - Third Edition
Book",Business&Other
"VBA Automation for Excel 2019 Cookbook
Book",Business&Other
"Robotic Process Automation Projects
Book",Business&Other
"Learning Microsoft Project 2019
Book",Business&Other
"Scaling Scrum Across Modern Enterprises
Book",Business&Other
"Programming Microsoft Dynamics 365 Business Central - Sixth Edition
Book",Business&Other
"Building Forms with Vue.js
Book",Business&Other
"WordPress 5 Cookbook
Book",Business&Other
"Jira 8 Essentials - Fifth Edition
Book",Business&Other
"Practical Autodesk AutoCAD 2021 and AutoCAD LT 2021
Book",Business&Other
"FreeSWITCH 1.8
Book",Business&Other
"Implementing Microsoft Dynamics 365 for Finance and Operations Apps - Second Edition
Book",Business&Other
"R Bioinformatics Cookbook
Book",Business&Other
"Automated Testing in Microsoft Dynamics 365 Business Central
Book",Business&Other
"Azure DevOps Server 2019 Cookbook - Second Edition
Book",Business&Other
"Learn SOLIDWORKS 2020
Book",Business&Other
"Implementing Microsoft Dynamics 365 Customer Engagement
Book",Business&Other
"Bioinformatics with Python Cookbook - Second Edition
Book",Business&Other
"Hands-On Enterprise Automation on Linux
Book",Business&Other
"Learn Human-Computer Interaction
Book",Business&Other
"Redux Quick Start Guide
Book",Business&Other
"101 UX Principles
Book",Business&Other
"Mastering Adobe Photoshop Elements 2020 - Second Edition
Book",Business&Other
"Microsoft Dynamics 365 Business Central Cookbook
Book",Business&Other
"Jira Quick Start Guide
Book",Business&Other
"Robotic Process Automation with Blue Prism Quick Start Guide
Book",Business&Other
"Learning Ansible 2.7 - Third Edition
Book",Business&Other
"Agile Technical Practices Distilled
Book",Business&Other
"LaTeX Cookbook
Book",Business&Other
"The Complete Edition – Software Engineering for Real-Time Systems
Book",Business&Other
"Microsoft Dynamics 365 Enterprise Edition � Financial Management - Third Edition
Book",Business&Other
"Mastering Office 365 Administration
Book",Business&Other
"Implementing Microsoft Dynamics 365 Business Central On-Premise - Fourth Edition
Book",Business&Other
"Teaching with Google Classroom
Book",Business&Other
"Programming Microsoft Dynamics NAV - Fifth Edition
Book",Business&Other
"Mastering JBoss Drools 6
Book",Business&Other
"Jira Software Essentials - Second Edition
Book",Business&Other
"Advanced Node.js Development
Book",Business&Other
"Azure Resource Manager Templates Quick Start Guide
Book",Business&Other
"The Successful Software Manager
Book",Business&Other
"Microsoft Dynamics 365 Extensions Cookbook
Book",Business&Other
"LaTex Beginner's Guide
Book",Business&Other
"Mastering Microsoft Dynamics 365 Customer Engagement - Second Edition
Book",Business&Other
"Voicebot and Chatbot Design
Book",Business&Other
"Learning Node.js Development
Book",Business&Other
"Mastering FreeSWITCH
Book",Business&Other
"Jira 8 Administration Cookbook - Third Edition
Book",Business&Other
"NetSuite ERP for Administrators
Book",Business&Other
"Bash Cookbook
Book",Business&Other
"Cracking the IT Architect Interview
Book",Business&Other
"Microsoft Dynamics NAV Development Quick Start Guide
Book",Business&Other
"Mastering JavaServer Faces 2.2
Book",Business&Other
"The Professional ScrumMaster's Handbook
Book",Business&Other
"Dynamics 365 Application Development
Book",Business&Other
"Windows Presentation Foundation Development Cookbook
Book",Business&Other
"Practical Network Automation - Second Edition
Book",Business&Other
"Security Automation with Ansible 2
Book",Business&Other
"Mastering OpenLDAP: Configuring, Securing and Integrating Directory Services
Book",Business&Other
"Lean Mobile App Development
Book",Business&Other
"Learning RabbitMQ
Book",Business&Other
"Going IT Alone: The Handbook for Freelance and Contract Software Developers
Book",Business&Other
"UX Design for Mobile
Book",Business&Other
"Atlassian Confluence 5 Essentials
Book",Business&Other
"Microsoft Office 365 - Exchange Online Implementation and Migration (Second Edition)
Book",Business&Other
"CompTIA Project+ Certification Guide
Book",Business&Other
"Extending Microsoft Dynamics NAV 2016 Cookbook
Book",Business&Other
"Building ERP Solutions with Microsoft Dynamics NAV
Book",Business&Other
"FL Studio Cookbook
Book",Business&Other
"Manage Your SAP Projects with SAP Activate
Book",Business&Other
"AI Blueprints
Book",Business&Other
"The Agile Developer's Handbook
Book",Business&Other
"Lean Product Management
Book",Business&Other
"Linux Email
Book",Business&Other
"User Experience Mapping
Book",Business&Other
"Microsoft Dynamics NAV 2016 Financial Management - Second Edition
Book",Business&Other
"Skill Up: A Software Developer's Guide to Life and Career
Book",Business&Other
"Microsoft Dynamics GP 2016 Cookbook
Book",Business&Other
"The 3CX IP PBX Tutorial
Book",Business&Other
"Robot Framework Test Automation
Book",Business&Other
"Mastering Redmine - Second Edition
Book",Business&Other
"Developer, Advocate!
Book",Business&Other
"SignalR Real-time Application Cookbook
Book",Business&Other
"Hands-On Motion Graphics with Adobe After Effects CC
Book",Business&Other
"Learning Dynamics NAV Patterns
Book",Business&Other
"Odoo 11 Development Essentials - Third Edition
Book",Business&Other
"Image Processing with ImageJ
Book",Business&Other
"Mastering Microsoft Dynamics NAV 2016
Book",Business&Other
"Microsoft Dynamics NAV 2009 Programming Cookbook
Book",Business&Other
"Mastering Lumion 3D
Book",Business&Other
"Workshop in a Box: Communication Skills for IT Professionals
Book",Business&Other
"Twilio Best Practices
Book",Business&Other
"Getting Started with PowerShell
Book",Business&Other
"Redis Essentials
Book",Business&Other
"Getting Started with Paint.NET
Book",Business&Other
"Learning Salesforce Visual Workflow and Process Builder - Second Edition
Book",Business&Other
"Mastering Adobe Photoshop Elements
Book",Business&Other
"Learning Image Processing with OpenCV
Book",Business&Other
"JIRA Agile Essentials
Book",Business&Other
"JSF 2.0 Cookbook
Book",Business&Other
"Asterisk 1.6
Book",Business&Other
"GIMP 2.6 cookbook
Book",Business&Other
"Oracle E-Business Suite R12 Integration and OA Framework Development and Extension Cookbook
Book",Business&Other
"Implementing Microsoft Dynamics NAV - Third Edition
Book",Business&Other
"Redmine Plugin Extension and Development
Book",Business&Other
"Learning Apache Thrift
Book",Business&Other
"IBM Lotus Notes 8.5 User Guide
Book",Business&Other
"Inkscape 0.48 Illustrator's Cookbook
Book",Business&Other
"Twilio Cookbook
Book",Business&Other
"PrimeFaces Cookbook - Second Edition
Book",Business&Other
"Building Telephony Systems with OpenSER
Book",Business&Other
"Oracle WebLogic Server 12c Advanced Administration Cookbook
Book",Business&Other
"Microsoft Dynamics NAV 7 Programming Cookbook
Book",Business&Other
"Image Processing with ImageJ - Second Edition
Book",Business&Other
"Mastering vRealize Operations Manager - Second Edition
Book",Business&Other
"Working with OpenERP
Book",Business&Other
"SAP HCM - A Complete Tutorial
Book",Business&Other
"Unity Animation Essentials
Book",Business&Other
"Job Interview Success for Introverts
Book",Business&Other
"StartupPro: How to set up and grow a tech business
Book",Business&Other
"Learning Ansible
Book",Business&Other
"RabbitMQ Essentials
Book",Business&Other
"Microsoft Dynamics AX 2012 R3 Reporting Cookbook
Book",Business&Other
"Odoo 10 Implementation Cookbook
Book",Business&Other
"WCF 4.0 Multi-tier Services Development with LINQ to Entities
Book",Business&Other
"Practical Network Scanning
Book",Business&Other
"OpenNI Cookbook
Book",Business&Other
"Documentum 6.5 Content Management Foundations
Book",Business&Other
"Learn OpenOffice.org Spreadsheet Macro Programming: OOoBasic and Calc automation
Book",Business&Other
"Intelligent Automation with VMware
Book",Business&Other
"TortoiseSVN 1.7 Beginner's Guide
Book",Business&Other
"Building Telephony Systems With Asterisk
Book",Business&Other
"Mind Mapping with FreeMind
Book",Business&Other
"Mastering Prezi for Business Presentations - Second Edition
Book",Business&Other
